team1,team2,team3,score
frc1885,frc612,frc1895,44
frc623,frc9403,frc620,56
frc5338,frc619,frc2421,86
frc1731,frc2900,frc2028,63
frc3373,frc401,frc3359,50
frc339,frc611,frc5243,40
frc4472,frc1418,frc122,61
frc539,frc2912,frc612,46
frc4821,frc2363,frc620,68
frc9235,frc2900,frc401,42
frc2186,frc3359,frc5338,48
frc5549,frc611,frc1915,30
frc5243,frc122,frc116,44
frc3373,frc5549,frc122,52
frc1915,frc5243,frc9403,22
frc539,frc9033,frc339,48
frc2028,frc1895,frc619,51
frc2421,frc8230,frc1885,33
frc2363,frc1731,frc8590,92
frc4472,frc3373,frc623,35
frc5587,frc2912,frc9403,53
frc4821,frc122,frc3359,44
frc1418,frc620,frc116,68
frc1915,frc2028,frc5338,39
frc9235,frc1895,frc8230,38
frc611,frc4472,frc2363,60
frc612,frc3373,frc9403,39
frc1418,frc4821,frc339,81
frc1731,frc623,frc9033,76
frc1885,frc5587,frc2186,54
frc8590,frc2421,frc5243,38
frc619,frc401,frc2912,56
frc2900,frc5549,frc539,60
frc2363,frc5338,frc612,62
frc1418,frc8590,frc3359,28
frc116,frc1731,frc611,69
frc5587,frc2421,frc539,57
frc3373,frc4821,frc1915,37
frc619,frc9235,frc2186,61
frc540,frc3939,frc6882,35
frc2106,frc2068,frc5338,71
frc5954,frc1599,frc404,16
frc3136,frc3361,frc9709,53
frc1610,frc1086,frc5804,59
frc617,frc6882,frc4821,29
frc2890,frc5724,frc3939,51
frc4286,frc2106,frc2186,61
frc6194,frc540,frc1262,29
frc4472,frc9709,frc1599,67
frc1522,frc2068,frc6802,37
frc2998,frc3361,frc2988,37
frc404,frc5338,frc346,42
frc3136,frc5954,frc977,51
frc5804,frc2186,frc540,42
frc1086,frc1262,frc2106,82
frc9709,frc4286,frc2890,46
frc5724,frc6882,frc2068,36
frc2988,frc617,frc3136,46
frc1522,frc404,frc977,33
frc3361,frc4821,frc1610,36
frc346,frc3939,frc4472,82
frc5804,frc2998,frc346,47
frc2988,frc1086,frc4286,24
frc5954,frc6802,frc2998,32
frc1599,frc6194,frc5338,57
frc2988,frc2890,frc1262,47
frc2106,frc1522,frc5804,86
frc9709,frc617,frc3939,54
frc6882,frc3136,frc1086,56
frc5338,frc404,frc6802,60
frc346,frc4286,frc5724,67
frc2068,frc1610,frc6194,30
frc2186,frc4472,frc5954,30
frc2998,frc977,frc4821,30
frc540,frc1599,frc3361,42
frc1262,frc3136,frc3939,70
frc6802,frc2988,frc2106,61
frc404,frc1610,frc4286,24
frc2890,frc5338,frc1086,42
frc5954,frc540,frc9709,27
frc2186,frc3361,frc617,31
frc5724,frc4821,frc5804,59
frc2068,frc6194,frc4472,31
frc1599,frc3136,frc4472,60
frc6194,frc5724,frc617,21
frc2998,frc1522,frc1599,28
frc977,frc346,frc6882,28
frc6802,frc540,frc2186,26
frc1262,frc617,frc404,13
frc3136,frc4286,frc5338,58
frc4821,frc6194,frc2890,33
frc9709,frc977,frc2068,49
frc346,frc1522,frc5954,43
frc3361,frc3939,frc1086,66
frc1599,frc5804,frc2988,49
frc2106,frc6882,frc5724,58
frc4472,frc2998,frc1610,32
frc1522,frc6194,frc9709,54
frc4286,frc540,frc617,4
frc2988,frc2186,frc346,51
frc1086,frc1599,frc4821,39
frc5338,frc1610,frc5724,77
frc2068,frc1262,frc3361,46
frc3939,frc5954,frc5804,38
frc2998,frc404,frc6882,16
